Incident_ID,Date,Year,Month,Day,Role,Victim,Gender,Age,Date_of_Death
2016-0177,2016-12-29,2016,12,29,Pedestrian,Pedestrian,Female,27,
2016-0178,2016-12-30,2016,12,30,Pedestrian,Pedestrian,Female,7,
2017-0001,2017-01-02,2017,1,2,Driver,Motorcycle,Male,18,2017-01-02
2017-0003,2017-01-05,2017,1,5,Passenger_Companion,Cargo Vehicle,Male,33,2017-01-05
2017-0007,2017-01-11,2017,1,11,Pedestrian,Pedestrian,Male,48,2017-01-11
2017-0008,2017-01-16,2017,1,16,Driver,Motorcycle,Male,29,2017-01-16
2017-0009,2017-01-16,2017,1,16,Driver,Motorcycle,Male,36,2017-01-16
2017-0010,2017-01-16,2017,1,16,Driver,Motorcycle,Male,23,2017-01-16
2017-0011,2017-01-22,2017,1,22,Passenger_Companion,Motorcycle,Female,29,2017-01-22
2017-0012,2017-01-24,2017,1,24,Driver,Motorcycle,Male,30,2017-01-24
2017-0013,2017-01-27,2017,1,27,Pedestrian,Pedestrian,Male,4,2017-01-27
2017-0014,2017-01-28,2017,1,28,Passenger_Companion,Motorcycle,Female,22,2017-01-28
2017-0015,2017-02-02,2017,2,2,Pedestrian,Pedestrian,Male,82,2017-02-21
2017-0016,2017-02-03,2017,2,3,Driver,Motorcycle,Male,27,2017-02-04
2017-0017,2017-02-06,2017,2,6,Driver,Motorcycle,Male,32,2017-02-06
2017-0018,2017-02-09,2017,2,9,Driver,Motorcycle,Male,30,2017-02-09
2017-0021,2017-02-18,2017,2,18,Driver,Motorcycle,Male,43,2017-02-18
2017-0024,2017-02-23,2017,2,23,Pedestrian,Pedestrian,Male,39,2017-02-23
2017-0025,2017-02-24,2017,2,24,Driver,Motorcycle,Male,23,2017-02-24
2017-0026,2017-02-26,2017,2,26,Passenger_Companion,Car,Female,23,2017-02-26
2017-0026,2017-02-26,2017,2,26,Driver,Car,Male,19,2017-02-26
2017-0027,2017-02-26,2017,2,26,Pedestrian,Pedestrian,Male,42,2017-02-26
2017-0028,2017-02-28,2017,2,28,Pedestrian,Pedestrian,Male,87,2017-02-28
2017-0029,2017-03-07,2017,3,7,No Data,No Data,Male,34,2017-03-07
2017-0030,2017-03-07,2017,3,7,Driver,Car,Female,27,2017-03-07
2017-0031,2017-03-11,2017,3,11,Passenger_Companion,Car,Male,70,2017-03-11
2017-0032,2017-03-12,2017,3,12,Passenger_Companion,Car,Female,40,2017-03-12
2017-0033,2017-03-12,2017,3,12,Driver,Car,Male,28,2017-03-12
2017-0034,2017-03-13,2017,3,13,Pedestrian,Pedestrian,Male,43,2017-03-13
2017-0035,2017-03-23,2017,3,23,Driver,Car,Male,28,2017-03-23
2017-0035,2017-03-23,2017,3,23,Passenger_Companion,Car,Male,32,2017-03-23
2017-0035,2017-03-23,2017,3,23,Passenger_Companion,Car,Male,30,2017-03-23
2017-0036,2017-03-29,2017,3,29,Passenger_Companion,Motorcycle,Female,42,2017-03-29
2017-0036,2017-03-29,2017,3,29,Driver,Motorcycle,Male,20,2017-03-29
2017-0037,2017-03-31,2017,3,31,Driver,Motorcycle,Male,41,2017-03-31
