ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO
2016-0102,10/08/2016,2016,8,10,CONDUCTOR,MOTO,MASCULINO,29,SD
2016-0104,14/08/2016,2016,8,14,CONDUCTOR,MOTO,MASCULINO,21,15/08/2016
2016-0105,17/08/2016,2016,8,17,PEATON,PEATON,MASCULINO,19,26/08/2016
2016-0106,19/08/2016,2016,8,19,PEATON,PEATON,MASCULINO,38,SD
2016-0107,20/08/2016,2016,8,20,CONDUCTOR,MOTO,MASCULINO,21,SD
2016-0109,24/08/2016,2016,8,24,CONDUCTOR,AUTO,FEMENINO,53,24/08/2016
2016-0110,24/08/2016,2016,8,24,PEATON,PEATON,MASCULINO,57,SD
2016-0111,25/08/2016,2016,8,25,CONDUCTOR,MOTO,MASCULINO,27,25/08/2016
2016-0112,27/08/2016,2016,8,27,CONDUCTOR,MOTO,MASCULINO,24,27/08/2016
2016-0113,27/08/2016,2016,8,27,PEATON,PEATON,FEMENINO,60,SD
2016-0114,31/08/2016,2016,8,31,CICLISTA,BICICLETA,FEMENINO,55,31/08/2016
2016-0115,02/09/2016,2016,9,2,SD,SD,MASCULINO,SD,SD
2016-0116,02/09/2016,2016,9,2,CONDUCTOR,MOTO,MASCULINO,30,02/09/2016
2016-0117,03/09/2016,2016,9,3,CONDUCTOR,AUTO,MASCULINO,43,SD
2016-0118,04/09/2016,2016,9,4,CONDUCTOR,AUTO,MASCULINO,27,04/09/2016
2016-0119,04/09/2016,2016,9,4,PASAJERO_ACOMPA¥ANTE,SD,FEMENINO,SD,SD
2016-0122,13/09/2016,2016,9,13,CICLISTA,BICICLETA,MASCULINO,49,13/09/2016
2016-0123,14/09/2016,2016,9,14,CONDUCTOR,MOTO,FEMENINO,58,SD
2016-0124,16/09/2016,2016,9,16,PEATON,PEATON,MASCULINO,67,SD
2016-0125,17/09/2016,2016,9,17,CONDUCTOR,MOTO,MASCULINO,30,SD
2016-0126,18/09/2016,2016,9,18,CONDUCTOR,AUTO,MASCULINO,37,SD
2016-0126,18/09/2016,2016,9,18,PASAJERO_ACOMPA¥ANTE,AUTO,MASCULINO,60,SD
2016-0127,24/09/2016,2016,9,24,PEATON,PEATON,MASCULINO,50,SD
2016-0128,02/10/2016,2016,10,2,PEATON,PEATON,FEMENINO,81,02/10/2016
2016-0130,04/10/2016,2016,10,4,CONDUCTOR,MOTO,MASCULINO,29,04/10/2016
2016-0131,09/10/2016,2016,10,9,PEATON,PEATON,MASCULINO,35,SD
2016-0132,10/10/2016,2016,10,10,PASAJERO_ACOMPA¥ANTE,AUTO,MASCULINO,30,10/10/2016
2016-0133,14/10/2016,2016,10,14,CONDUCTOR,MOTO,MASCULINO,41,25/10/2016
2016-0134,23/10/2016,2016,10,23,CONDUCTOR,MOTO,MASCULINO,25,23/10/2016
2016-0135,24/10/2016,2016,10,24,PEATON,PEATON,MASCULINO,29,25/10/2016
2016-0136,25/10/2016,2016,10,25,CONDUCTOR,MOTO,SD,SD,SD
2016-0137,25/10/2016,2016,10,25,CONDUCTOR,MOTO,MASCULINO,30,SD
2016-0138,27/10/2016,2016,10,27,CICLISTA,BICICLETA,FEMENINO,33,SD
2016-0139,28/10/2016,2016,10,28,PASAJERO_ACOMPA¥ANTE,MOTO,FEMENINO,35,SD
2016-0140,31/10/2016,2016,10,31,PASAJERO_ACOMPA¥ANTE,PASAJEROS,MASCULINO,20,SD
2016-0142,05/11/2016,2016,11,5,CONDUCTOR,MOTO,MASCULINO,46,05/11/2016
2016-0143,06/11/2016,2016,11,6,CONDUCTOR,MOTO,MASCULINO,35,SD
2016-0144,07/11/2016,2016,11,7,PEATON,PEATON,MASCULINO,83,SD
2016-0145,07/11/2016,2016,11,7,CONDUCTOR,MOTO,MASCULINO,39,07/11/2016
2016-0146,09/11/2016,2016,11,9,PEATON,PEATON,FEMENINO,29,SD
2016-0147,16/11/2016,2016,11,16,PASAJERO_ACOMPA¥ANTE,MOVIL,MASCULINO,55,16/11/2016
